,trail_id,area_name,popularity,visitors,popularity_bin,bin_range_low,bin_range_high
0,10020048,Kenai Fjords National Park,24.8931,346534,5.0,16.925,25.387
1,10236086,Denali National Park,18.0311,587412,5.0,16.925,25.387
2,10267857,Kenai Fjords National Park,17.7821,346534,5.0,16.925,25.387
3,10236076,Denali National Park,16.2674,587412,4.0,12.693,16.925
4,10236082,Denali National Park,12.5935,587412,3.0,8.462,12.693
5,10241620,Denali National Park,8.8331,587412,3.0,8.462,12.693
6,10236080,Denali National Park,7.6876,587412,2.0,4.231,8.462
7,10236075,Denali National Park,5.9038,587412,2.0,4.231,8.462
8,10236084,Denali National Park,5.8885,587412,2.0,4.231,8.462
9,10327620,Denali National Park,5.799,587412,2.0,4.231,8.462
10,10265252,Denali National Park,5.6536,587412,2.0,4.231,8.462
11,10333556,Denali National Park,4.6043,587412,2.0,4.231,8.462
12,10265251,Denali National Park,4.1956,587412,1.0,0.0,4.231
13,10393562,Denali National Park,3.958,587412,1.0,0.0,4.231
14,10262541,Glacier Bay National Park,3.8939,520171,1.0,0.0,4.231
15,10358126,Denali National Park,3.6654,587412,1.0,0.0,4.231
16,10236078,Denali National Park,3.4891,587412,1.0,0.0,4.231
17,10343441,Denali National Park,3.3846,587412,1.0,0.0,4.231
18,10023165,Denali National Park,3.304,587412,1.0,0.0,4.231
19,10333569,Denali National Park,2.7746,587412,1.0,0.0,4.231
20,10347459,Katmai National Park,2.4937,37818,1.0,0.0,4.231
21,10302108,Glacier Bay National Park,2.33,520171,1.0,0.0,4.231
22,10333558,Denali National Park,2.0877,587412,1.0,0.0,4.231
23,10513937,Katmai National Park,2.0328,37818,1.0,0.0,4.231
24,10333557,Denali National Park,1.8986,587412,1.0,0.0,4.231
25,10302122,Glacier Bay National Park,1.86,520171,1.0,0.0,4.231
26,10265266,Denali National Park,1.803,587412,1.0,0.0,4.231
27,10302112,Glacier Bay National Park,1.3701,520171,1.0,0.0,4.231
28,10302114,Glacier Bay National Park,1.3415,520171,1.0,0.0,4.231
29,10187810,Grand Canyon National Park,37.4791,5969811,6.0,25.387,84.623
30,10016964,Grand Canyon National Park,36.2709,5969811,6.0,25.387,84.623
31,10237812,Grand Canyon National Park,33.256,5969811,6.0,25.387,84.623
32,10245012,Grand Canyon National Park,31.6323,5969811,6.0,25.387,84.623
33,10265905,Grand Canyon National Park,28.8685,5969811,6.0,25.387,84.623
34,10266148,Grand Canyon National Park,28.2035,5969811,6.0,25.387,84.623
35,10094721,Grand Canyon National Park,24.0229,5969811,5.0,16.925,25.387
36,10026816,Grand Canyon National Park,22.7206,5969811,5.0,16.925,25.387
37,10235665,Grand Canyon National Park,22.5006,5969811,5.0,16.925,25.387
38,10266521,Grand Canyon National Park,22.1688,5969811,5.0,16.925,25.387
39,10016127,Grand Canyon National Park,21.652,5969811,5.0,16.925,25.387
40,10034910,Saguaro National Park,20.8545,820426,5.0,16.925,25.387
41,10337353,Grand Canyon National Park,20.0835,5969811,5.0,16.925,25.387
42,10013850,Grand Canyon National Park,19.8228,5969811,5.0,16.925,25.387
43,10031380,Saguaro National Park,18.8699,820426,5.0,16.925,25.387
44,10304374,Grand Canyon National Park,16.7412,5969811,4.0,12.693,16.925
45,10236025,Petrified Forest National Park,15.5733,643274,4.0,12.693,16.925
46,10013966,Saguaro National Park,15.5,820426,4.0,12.693,16.925
47,10004120,Grand Canyon National Park,14.8144,5969811,4.0,12.693,16.925
48,10006500,Grand Canyon National Park,14.7746,5969811,4.0,12.693,16.925
49,10259347,Grand Canyon National Park,14.7248,5969811,4.0,12.693,16.925
50,10041313,Grand Canyon National Park,14.6866,5969811,4.0,12.693,16.925
51,10244240,Saguaro National Park,14.3846,820426,4.0,12.693,16.925
52,10111405,Saguaro National Park,14.3478,820426,4.0,12.693,16.925
53,10286650,Grand Canyon National Park,13.8468,5969811,4.0,12.693,16.925
54,10031336,Grand Canyon National Park,13.3343,5969811,4.0,12.693,16.925
55,10031337,Grand Canyon National Park,12.6285,5969811,3.0,8.462,12.693
56,10304469,Grand Canyon National Park,12.5954,5969811,3.0,8.462,12.693
57,10273263,Grand Canyon National Park,12.4801,5969811,3.0,8.462,12.693
58,10000811,Grand Canyon National Park,12.4222,5969811,3.0,8.462,12.693
59,10009957,Grand Canyon National Park,12.4044,5969811,3.0,8.462,12.693
60,10006953,Saguaro National Park,12.393,820426,3.0,8.462,12.693
61,10297089,Grand Canyon National Park,12.3532,5969811,3.0,8.462,12.693
62,10040243,Grand Canyon National Park,12.302,5969811,3.0,8.462,12.693
63,10026822,Grand Canyon National Park,12.0834,5969811,3.0,8.462,12.693
64,10242023,Saguaro National Park,11.8629,820426,3.0,8.462,12.693
65,10255289,Grand Canyon National Park,11.8608,5969811,3.0,8.462,12.693
66,10004435,Saguaro National Park,11.8001,820426,3.0,8.462,12.693
67,10258667,Grand Canyon National Park,11.7107,5969811,3.0,8.462,12.693
68,10236026,Petrified Forest National Park,11.5545,643274,3.0,8.462,12.693
69,10258648,Grand Canyon National Park,11.1051,5969811,3.0,8.462,12.693
70,10257085,Grand Canyon National Park,11.0836,5969811,3.0,8.462,12.693
71,10236022,Petrified Forest National Park,10.9378,643274,3.0,8.462,12.693
72,10018269,Petrified Forest National Park,10.9165,643274,3.0,8.462,12.693
73,10265749,Grand Canyon National Park,10.8324,5969811,3.0,8.462,12.693
74,10315767,Grand Canyon National Park,10.6545,5969811,3.0,8.462,12.693
75,10023828,Grand Canyon National Park,10.3784,5969811,3.0,8.462,12.693
76,10112001,Saguaro National Park,10.3328,820426,3.0,8.462,12.693
77,10042232,Grand Canyon National Park,10.2641,5969811,3.0,8.462,12.693
78,10365390,Grand Canyon National Park,10.1704,5969811,3.0,8.462,12.693
79,10267208,Saguaro National Park,10.0467,820426,3.0,8.462,12.693
80,10293249,Saguaro National Park,9.9618,820426,3.0,8.462,12.693
81,10258317,Grand Canyon National Park,9.9197,5969811,3.0,8.462,12.693
82,10002324,Grand Canyon National Park,9.7326,5969811,3.0,8.462,12.693
83,10274527,Grand Canyon National Park,9.609,5969811,3.0,8.462,12.693
